,avg_fit_time,avg_score_time,avg_test_score,avg_train_score,colsample_bytree,gamma,learning_rate,reg_lambda
4,368.5421373844147,0.8536350727081299,-0.3800374589794648,-0.2543276406202685,0.5507924659794359,1.2941248958739688,0.10385502891862657,0.7730219798333614
3,540.6811802387238,1.272803783416748,-0.38012014233008173,-0.23418641629081682,0.836612137055184,1.0086675246258887,0.11862466048951407,0.5613284475483706
26,622.923152923584,0.7374484539031982,-0.3801444806944362,-0.23673592045943392,1.0,1.0931786944004238,0.12656814782186127,0.7287880137874851
24,659.4116287231445,1.1979038715362549,-0.3802564974049823,-0.24641519947322346,1.0,1.1597389375003846,0.10591684601684474,0.8436016561280463
8,447.4055690765381,0.5113866329193115,-0.38076766528725364,-0.2756554979656639,0.6966065141642892,2.8410498289041373,0.15722071685792077,0.8748457075948225
39,340.0900921821594,1.1294145584106445,-0.3811624957226296,-0.14484768422066607,0.5,0.0,0.12957696454205644,0.9486569573224464
6,512.4079594612122,0.6598665714263916,-0.381433525383366,-0.231356635680201,0.7721802021761427,1.0817827980687904,0.18625435922741668,0.766787596995039
25,452.0678436756134,0.7514622211456299,-0.38150881735458997,-0.26255943743438237,0.7172147995758658,1.2884496741580531,0.08425536900180547,0.8025096363731599
5,574.097024679184,0.852198600769043,-0.3820925977630933,-0.22071072550235218,0.8004233473132244,0.9410645665970554,0.1543200565761732,0.22473153329604584
29,651.8052773475647,0.5814106464385986,-0.3822017975438167,-0.27264517985864023,1.0,3.0,0.1378484608225838,0.41623667989596685
10,632.7921574115753,1.471081256866455,-0.38235875614262477,-0.2566067626572614,1.0,1.131365315572941,0.08351811101206068,0.8125358730057912
37,618.6798369884491,0.7560887336730957,-0.382699621800224,-0.25971576875930386,0.950139833151564,1.1928722754715686,0.08291676797018821,0.8191554490564464
9,563.6321821212769,0.9184820652008057,-0.3831548563899058,-0.26760110712105006,0.8723923692502784,2.79040566491731,0.15014348615703532,0.18721998067646742
22,495.0532033443451,0.602003812789917,-0.38319217979884984,-0.27037593637013374,0.7581722974212586,3.0,0.15858983999833667,0.21919754540713696
38,329.9693260192871,1.1098213195800781,-0.38419552392970613,-0.12049945761718436,0.5,0.0,0.17313362943897695,1.0
2,345.6613404750824,0.6286296844482422,-0.38447653057568565,-0.24516952593825406,0.5393175508144205,1.5330962342500232,0.2412110651482958,0.5058650251752775
28,632.7254321575165,0.5389034748077393,-0.38493000838581126,-0.2713137126576612,1.0,3.0,0.2439006121266609,0.6822913516383808
34,628.900208234787,0.9506566524505615,-0.38711879849209774,-0.26605507159882297,1.0,3.0,0.18600501561037439,0.0
36,584.9382162094116,0.7679569721221924,-0.3872008965922734,-0.28195978749429973,0.9261662749612252,1.4128997521519115,0.07283482720865844,1.0
17,328.2684178352356,0.4478328227996826,-0.38729498059423706,-0.2758678757725106,0.5,3.0,0.32714104123188187,1.0
27,342.9305028915405,1.002748966217041,-0.38770383593423874,-0.11068307149449372,0.5,0.0,0.209164657510863,1.0
30,634.4766962528229,0.4968433380126953,-0.3879092991328783,-0.2687321337898891,1.0,3.0,0.27089426409353123,0.39571039383622325
31,338.07851576805115,1.0843629837036133,-0.3883367308090135,-0.11273155757625712,0.5,0.0314106924078351,0.22293576505896337,1.0
11,623.8224928379059,1.0190255641937256,-0.3889500714887265,-0.2377821771656297,0.9889049766902058,1.3776988083100665,0.29800506460724324,0.627002227957539
18,654.9504191875458,0.45680880546569824,-0.3894449579189259,-0.26490161960595004,1.0,3.0,0.23423791275284195,0.0
0,695.4364137649536,2.144186496734619,-0.38985549792104635,-0.2783649069907608,0.93840161163891,1.2151340617343431,0.0699063077478338,0.7937251551187439
32,590.9178581237793,0.5110559463500977,-0.3905775100230116,-0.2697728712198395,1.0,3.0,0.35442376885281796,0.713033115392477
35,591.570309638977,0.5210018157958984,-0.390987627238655,-0.2717443511466597,1.0,3.0,0.37395191110986853,1.0
21,647.8394615650177,0.4826500415802002,-0.39175872798662736,-0.2641401441036116,1.0,3.0,0.2711732906970064,0.0
15,319.2510027885437,0.43642330169677734,-0.3926395338360236,-0.2759087418286553,0.5,3.0,0.4,1.0
20,578.8750166893005,0.3831748962402344,-0.3944237816583745,-0.27100638232043034,1.0,3.0,0.4,0.4955882792506853
33,601.3907129764557,0.7783079147338867,-0.39490125745367655,-0.2884313159060513,0.9289951258298019,1.182644294591387,0.06607121964242686,0.8176465687383959
7,442.05372405052185,0.46024203300476074,-0.3963027477103691,-0.24442082930785738,0.647525861741218,1.703630043687467,0.35927656894529053,0.09434056063422427
14,373.55304861068726,0.40576934814453125,-0.40151871478974477,-0.2628692395448937,0.5027596806480372,2.689537532851725,0.39605275118567684,0.005589909252594395
13,391.6370782852173,0.4650583267211914,-0.4018957745281476,-0.26726647128832065,0.5,3.0,0.4,0.0
19,576.699384689331,0.3607044219970703,-0.4133923590436234,-0.1870007240982156,1.0,0.6020019413481195,0.4,0.0
23,618.6576266288757,0.6230504512786865,-0.41837123273640553,-0.33199839610527926,0.9398190595082971,1.3602086943400296,0.058263187654311425,1.0
12,339.2093152999878,0.9867925643920898,-0.4244389755355023,-0.05314749554808102,0.5,0.0,0.4,0.0
1,665.7157144546509,1.3757483959197998,-0.5170740914640655,-0.4554342046838465,0.9311345455312812,1.2712438888760786,0.04674882260055642,0.8391681726354812
16,746.9536137580872,2.1898462772369385,-5.6711125947022385,-5.669697493176207,1.0,0.0,0.001,0.0
