,avg_fit_time,avg_score_time,avg_test_score,avg_train_score,colsample_bytree,gamma,learning_rate,reg_lambda
32,671.444821357727,1.2873969078063965,-0.37955287444602426,,0.6805165973973338,0.857659239811464,0.09638754769071428,0.7750762056442211
31,850.9759619235992,1.5597419738769531,-0.3799438489808196,,0.8078943892710873,0.44634187635873435,0.1014115703358141,0.5177375983187767
23,565.490234375,1.4661810398101807,-0.38018841502496237,,0.5762324419552594,0.27525335151446384,0.08453613666410505,1.0
21,986.4370937347412,1.9575259685516357,-0.380413936217719,,1.0,1.0069594306260106,0.09380235107731472,1.0
24,523.0514898300171,1.9248857498168945,-0.3804549113970633,,0.5003960653489113,0.2612784087582487,0.08733579528376692,0.24874353052897302
34,998.9648072719574,2.0171170234680176,-0.3806666922613998,,1.0,0.6050221745228922,0.10961040368605111,0.4732602466744389
29,1043.22908949852,1.1572153568267822,-0.3806741705386884,,1.0,2.017925460001709,0.10835140566004534,0.9880786121649398
22,511.48669362068176,1.2418639659881592,-0.3807997283330664,,0.5,0.9969042015977292,0.0846792088776819,0.6782877699851505
11,509.9739599227905,1.7072224617004395,-0.38084804453069865,,0.5,0.0,0.08455677441198195,1.0
30,1075.196254491806,1.958418607711792,-0.3809490932939966,,1.0,0.1728062833402306,0.09623693399506603,0.7406496088251893
39,869.8472361564636,1.9087371826171875,-0.3810067425974052,,0.8719909559244694,3.877848322471422e-06,0.0935380672621487,0.7227149971030941
19,904.8555335998535,1.551619052886963,-0.38113362597962613,,0.9166091305150446,0.40474019156250596,0.08545079701879182,0.910120815263182
33,498.4908263683319,2.4606034755706787,-0.38134084033597865,,0.5,0.013794372202173298,0.08266536879265426,0.9995912779656188
26,996.1228096485138,1.5592846870422363,-0.3816138701845251,,0.9963595259042006,0.5301658659895756,0.09139002085674518,0.2912542069142591
35,753.4735398292542,0.910179615020752,-0.38167377691446114,,0.7478051696696265,2.3632807667977267,0.09822375552254563,0.2259241545218662
38,622.1577188968658,1.6064202785491943,-0.3819110891726004,,0.6057384924458199,2.5757360340718347,0.09254208778397735,0.40582457303985287
28,719.9927847385406,1.6515753269195557,-0.3821647952017886,,0.7260947926244414,3.0,0.09308281413881853,0.5239699993483709
1,752.8713743686676,1.6276891231536865,-0.38223320699821023,,0.75,1.5,0.2005,0.5
36,547.8752717971802,2.093172550201416,-0.3832336442947319,,0.5077239172843794,0.0,0.07907463335950317,0.23003581184622393
27,711.064493894577,1.6893501281738281,-0.3834623407080468,,0.7042809106294059,0.5974447105533167,0.09159858881225594,0.0
25,544.8899133205414,0.8391993045806885,-0.3838357796170162,,0.5,2.946144952517252,0.09159321037584867,0.0031165758155949647
17,657.6915090084076,2.194188356399536,-0.38394002353380474,,0.6034880406805854,0.005297120786092874,0.08883784712229398,0.03578233903797711
37,943.8697764873505,1.8746800422668457,-0.3872776852809805,,0.9752931144541799,0.0,0.07286688060766125,1.0
18,506.7772057056427,0.9283745288848877,-0.3892557555622021,,0.5,2.9716672412628413,0.07154034581429093,1.0
12,541.8189089298248,0.972296953201294,-0.3898213661632809,,0.5,3.0,0.07312747221992137,0.0
14,1030.4167013168335,2.4991636276245117,-0.38987497416079525,,1.0,0.004569478667080719,0.08391826904565679,0.0
6,972.3465218544006,1.5516881942749023,-0.39042628211317365,,1.0,0.032526830173380254,0.22555825043199276,1.0
3,482.1279733181,1.3249423503875732,-0.3913253978161635,,0.5006028229922539,3.0,0.4,1.0
7,531.2914488315582,1.032130479812622,-0.39252231177188535,,0.532637983593858,2.352330645583945,0.4,1.0
2,896.6499321460724,1.1075515747070312,-0.39253771915459684,,0.9622407484341438,3.0,0.4,1.0
16,506.7067143917084,0.6728003025054932,-0.3930251966063216,,0.5,3.0,0.299257731339987,0.0
10,549.2435393333435,3.6083245277404785,-0.39622632375647204,,0.5,0.0,0.06521401150856364,0.0
4,963.2443251609802,0.8469469547271729,-0.4020749716916967,,1.0,3.0,0.4,0.0
13,543.9856016635895,1.8943512439727783,-0.40379551609676784,,0.5,0.0,0.26198346464558575,0.0
5,967.4677658081055,1.229950189590454,-0.4075297412216587,,1.0,0.0,0.4,1.0
20,964.16787981987,1.574246883392334,-0.40875809953270803,,1.0,0.0,0.3157306882640263,0.07365811984999952
8,894.2073585987091,1.4696974754333496,-1.198744404835654,,1.0,3.0,0.027485076745712624,1.0
9,788.6908447742462,0.476468563079834,-4.442519569961537,,1.0,3.0,0.005089355122215286,0.9862027142598949
15,638.2694268226624,0.49843454360961914,-5.641690370624945,,0.8049080130227897,0.12488880040202047,0.0010887157805432007,0.8159870190365577
0,605.1189682483673,3.9643077850341797,-5.671150141745356,,0.5,0.0,0.001,0.0
